Rider,Victories,NumberofSecond,NumberofThird,Numberof4th,Numberof5th,Numberof6th,Country
Giacomo Agostini,122,67,53,48,34,24,IT
Valentino Rossi,115,52,47,38,30,21,IT
Angel Nieto,90,51,40,35,25,21,ES
Marc Marquez,85,44,36,28,23,21,ES
Mike Hailwood,76,41,33,26,22,20,GB
Jorge Lorenzo,68,39,28,25,22,20,ES
Mick Doohan,54,36,27,24,22,19,AU
Dani Pedrosa,54,35,26,22,21,19,ES
Phil Read,52,35,25,22,21,18,GB
Casey Stoner,45,35,25,21,20,17,AU
Jim Redman,45,34,25,20,19,17,
Max Biaggi,42,33,22,20,18,16,IT
Anton Mang,42,33,20,19,18,16,DE
Carlo Ubbiali,39,31,20,19,18,16,IT
John Surtees,38,31,20,19,17,16,GB
Jorge Martinez,37,27,20,19,17,16,ES
Luca Cadalora,34,26,19,18,17,16,IT
Geoff Duke,33,25,19,17,17,15,GB
Eddie Lawson,31,25,19,17,17,15,US
Kork Ballington,31,25,19,17,16,15,ZA
Luigi Taveri,30,24,19,16,16,15,CH
Loris Capirossi,29,23,18,16,16,15,IT
Pierpaolo Bianchi,27,23,18,16,16,14,IT
Freddie Spencer,27,23,18,16,16,14,US
Eugenio Lazzarini,27,23,17,16,16,14,IT
Hugh Anderson,25,22,17,16,15,14,NZ
Maverick Viñales,25,22,17,15,15,14,ES
Kevin Schwantz,25,22,17,15,15,14,US
Andrea Dovizioso,24,21,17,15,15,14,IT
Kenny Roberts,24,21,17,15,15,14,US
Wayne Rainey,24,20,17,15,15,14,US
Walter Villa,24,20,17,15,14,14,IT
Barry Sheene,23,20,17,15,14,14,GB
Marco Melandri,22,19,16,14,14,13,IT
Bill Ivy,21,17,16,14,14,13,GB
Fausto Gresini,21,17,16,14,13,13,IT
Ralf Waldmann,20,17,16,14,13,13,DE
Tarquinio Provini,20,17,15,14,13,13,IT
Alex Criville,20,17,15,13,13,13,ES
Gary Hocking,19,17,15,13,13,13,
Ricardo Tormo,19,17,15,13,13,13,ES
Carlos Lavado,19,16,14,13,13,12,VE
Kent Andersson,18,16,14,13,13,12,SE
Stefan Dörflinger,18,16,14,13,12,12,CH
Wayne Gardner,18,16,14,12,12,12,AU
Toni Elias,17,15,14,12,12,12,ES
Brad Binder,17,15,14,12,12,12,ZA
Daijiro Kato,17,15,14,12,12,12,JP
Thomas Luthi,17,15,13,12,12,11,CH
Tetsuya Harada,17,15,13,12,12,11,JP
Alvaro Bautista,16,15,13,12,12,11,ES
