Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships
AGOSTINI Giacomo,122,35.0,2.0,9.0,117.0,15.0
ROSSI Valentino,115,67.0,53.0,65.0,96.0,9.0
NIETO Angel,90,35.0,14.0,34.0,81.0,13.0
MARQUEZ Marc,85,36.0,17.0,90.0,75.0,8.0
HAILWOOD Mike,76,25.0,11.0,,79.0,9.0
LORENZO Jorge,68,51.0,33.0,69.0,37.0,5.0
PEDROSA Dani,54,52.0,47.0,49.0,64.0,3.0
DOOHAN Mick,54,31.0,10.0,58.0,46.0,5.0
READ Phil,52,44.0,25.0,5.0,36.0,7.0
REDMAN Jim,45,33.0,20.0,,35.0,6.0
STONER Casey,45,17.0,27.0,43.0,33.0,2.0
BIAGGI Max,42,41.0,28.0,56.0,42.0,4.0
MANG Anton,42,25.0,17.0,34.0,26.0,5.0
UBBIALI Carlo,39,20.0,9.0,,34.0,9.0
SURTEES John,38,4.0,3.0,,34.0,7.0
MARTINEZ Jorge,37,14.0,10.0,42.0,11.0,4.0
CADALORA Luca,34,22.0,16.0,29.0,30.0,3.0
DUKE Geoff,33,7.0,10.0,,29.0,6.0
LAWSON Eddie,31,31.0,16.0,18.0,21.0,4.0
BALLINGTON Kork,31,9.0,6.0,19.0,16.0,4.0
TAVERI Luigi,30,33.0,26.0,,28.0,3.0
CAPIROSSI Loris,29,34.0,36.0,41.0,32.0,3.0
LAZZARINI Eugenio,27,35.0,19.0,35.0,15.0,3.0
BIANCHI Pierpaolo,27,17.0,17.0,32.0,25.0,3.0
SPENCER Freddie,27,10.0,2.0,33.0,24.0,3.0
VIÑALES Maverick,25,23.0,20.0,24.0,22.0,1.0
SCHWANTZ Kevin,25,13.0,13.0,29.0,26.0,1.0
ANDERSON Hugh,25,12.0,11.0,,25.0,4.0
DOVIZIOSO Andrea,24,39.0,40.0,20.0,22.0,1.0
RAINEY Wayne,24,22.0,19.0,16.0,23.0,3.0
ROBERTS Kenny,24,14.0,6.0,22.0,27.0,3.0
VILLA Walter,24,6.0,6.0,21.0,20.0,4.0
SHEENE Barry,23,13.0,16.0,19.0,20.0,2.0
MELANDRI Marco,22,20.0,20.0,9.0,16.0,1.0
GRESINI Fausto,21,15.0,11.0,17.0,13.0,2.0
IVY Bill,21,15.0,6.0,,29.0,1.0
CRIVILLE Alex,20,21.0,25.0,12.0,20.0,2.0
WALDMANN Ralf,20,15.0,15.0,10.0,16.0,
PROVINI Tarquinio,20,10.0,9.0,,26.0,2.0
LAVADO Carlos,19,15.0,8.0,22.0,13.0,2.0
HOCKING Gary,19,12.0,2.0,,21.0,2.0
TORMO Ricardo,19,11.0,6.0,23.0,4.0,2.0
DÖRFLINGER Stefan,18,27.0,13.0,34.0,,4.0
GARDNER Wayne,18,20.0,14.0,19.0,19.0,1.0
ANDERSSON Kent,18,15.0,20.0,4.0,9.0,2.0
HARADA Tetsuya,17,26.0,12.0,21.0,21.0,1.0
LUTHI Thomas,17,23.0,25.0,12.0,19.0,1.0
ELIAS Toni,17,13.0,13.0,12.0,12.0,1.0
BINDER Brad,17,13.0,8.0,7.0,12.0,1.0
KATO Daijiro,17,5.0,5.0,11.0,11.0,1.0
KALLIO Mika,16,24.0,9.0,18.0,12.0,
ZARCO Johann,16,22.0,16.0,26.0,19.0,2.0
TEROL Nicolas,16,17.0,6.0,9.0,8.0,1.0
BAUTISTA Alvaro,16,15.0,18.0,18.0,22.0,1.0
OLIVEIRA Miguel,16,13.0,11.0,5.0,12.0,
RINS Alex,15,23.0,17.0,17.0,17.0,
PONS Sito,15,16.0,10.0,4.0,12.0,2.0
ESPARGARO Pol,15,15.0,22.0,20.0,16.0,1.0
DEGNER Ernst,15,11.0,12.0,,13.0,1.0
SAARINEN Jarno,15,7.0,10.0,,18.0,1.0
BRAUN Dieter,14,17.0,18.0,,10.0,2.0
ANSCHEIDT Hans-Georg,14,13.0,7.0,,12.0,3.0
CECOTTO Johnny,14,10.0,2.0,22.0,7.0,1.0
DE VRIES Jan,14,9.0,4.0,,13.0,2.0
BAGNAIA Francesco,14,8.0,11.0,13.0,11.0,1.0
SIMONCELLI Marco,14,6.0,11.0,15.0,9.0,1.0
RAUDIES Dirk,14,6.0,3.0,8.0,9.0,1.0
MAMOLA Randy,13,25.0,19.0,5.0,12.0,
UEDA Noboru,13,12.0,14.0,19.0,11.0,
KOCINSKI John,13,12.0,10.0,20.0,15.0,1.0
FENATI Romano,13,11.0,5.0,7.0,15.0,
RABAT Tito,13,10.0,13.0,16.0,11.0,1.0
